month,shipping_region,orders,gross_sales
2022-12,Oregon,6,2840
2022-12,New Jersey,66,"40003,6"
2022-12,Virginia,21,"14157,8"
2022-12,Sinaloa,1,"513,62"
2022-12,Indiana,4,"1542,5"
2022-12,Connecticut,20,"8846,3"
2022-12,Louisiana,6,3805
2022-12,South Carolina,15,"6829,6"
2022-12,Georgia,48,"23764,7"
2022-12,New York,114,"60059,55"
2022-12,Ontario,3,"2039,76"
2022-12,Maryland,28,"11282,2"
2022-12,Kentucky,2,"806,5"
2022-12,Sonora,2,"1027,24"
2022-12,Alberta,1,"753,09"
2022-12,California,170,"77331,3"
2022-12,Ohio,8,"5104,4"
2022-12,Colorado,15,"9629,6"
2022-12,Iowa,3,"1064,8"
2022-12,Massachusetts,31,"13482,4"
2022-12,New Hampshire,4,2582
2022-12,Nebraska,2,990
2022-12,Pennsylvania,21,"13118,9"
2022-12,Florida,243,"132430,1"
2022-12,Illinois,37,"18814,3"
2022-12,Tennessee,14,"7637,6"
2022-12,Idaho,2,1745
2022-12,North Dakota,1,315
2022-12,District Of Columbia,3,2000
2022-12,Missouri,5,1540
2022-12,Rhode Island,6,3537
2022-12,Delaware,4,"1336,1"
2022-12,Nevada,8,"5749,8"
2022-12,Wisconsin,7,"2774,6"
2022-12,Michigan,12,5903
2022-12,Arkansas,4,"3290,3"
2022-12,Minnesota,6,"1249,8"
2022-12,England,1,"829,82"
2022-12,North Carolina,39,18625
2022-12,Quebec,3,"2076,34"
2022-12,Kansas,3,1925
2022-12,Lomas De Chapultepec,1,"617,37"
2022-12,Texas,103,"54042,5"
2022-12,Washington,8,3585
2022-12,Alabama,13,"6603,8"
2022-12,Hawaii,1,270
2022-12,Oklahoma,1,690
2022-12,Ge,1,778
2022-12,Mississippi,2,1190
2022-12,Utah,3,2425
2022-12,West Virginia,1,716
2022-12,Arizona,18,"9158,8"
2022-12,,183,"142495,54"
2022-12,Montana,2,1175
2023-01,Indiana,5,2381
2023-01,Wisconsin,3,1386
2023-01,Kentucky,2,622
2023-01,West Virginia,1,250
2023-01,New York,127,"64076,3"
2023-01,Wyoming,2,3655
2023-01,Utah,2,639
2023-01,Maine,1,357
2023-01,Ontario,1,"349,41"
2023-01,Puerto Rico,1,595
2023-01,Illinois,32,13677
2023-01,Massachusetts,27,13871
2023-01,Pennsylvania,22,11594
2023-01,Minnesota,1,1190
2023-01,Nebraska,2,760
2023-01,Kansas,1,425
2023-01,Alberta,1,"764,79"
2023-01,Maryland,18,"8956,8"
2023-01,New Jersey,59,"28871,8"
2023-01,Idaho,2,555
2023-01,Georgia,35,"18708,8"
2023-01,Rhode Island,0,0
2023-01,Arizona,9,"5206,5"
2023-01,Mississippi,3,938
2023-01,Alabama,15,8057
2023-01,Virginia,22,"11765,8"
2023-01,Connecticut,19,"9442,3"
2023-01,YucatÃ¡n,1,"466,91"
2023-01,Oregon,23,11216
2023-01,Washington,18,8752
2023-01,Michigan,16,8110
2023-01,District Of Columbia,10,5227
2023-01,England,1,"824,94"
2023-01,South Dakota,1,450
2023-01,California,143,"69218,05"
2023-01,Texas,112,"53990,4"
2023-01,British Columbia,0,0
2023-01,Tennessee,10,6065
2023-01,Missouri,7,2817
2023-01,Florida,205,"104509,6"
2023-01,North Carolina,22,"10226,3"
2023-01,Louisiana,9,4175
2023-01,,167,"122412,36"
2023-01,Nevada,4,1750
2023-01,Delaware,1,250
2023-01,New Hampshire,1,725
2023-01,Colorado,12,8643
2023-01,South Carolina,12,"5184,5"
2023-01,Hawaii,1,363
2023-01,Ohio,10,6451
2023-02,Georgia,37,"15037,6"
2023-02,Philippines,1,617
2023-02,Queensland,1,"698,44"
2023-02,Oklahoma,6,"4274,8"
2023-02,Colorado,13,"5974,8"
2023-02,South Dakota,0,0
2023-02,West Virginia,1,420
2023-02,Arkansas,3,915
2023-02,Hawaii,1,265
2023-02,New Mexico,2,875
2023-02,Delaware,2,1100
2023-02,Jalisco,1,"626,94"
2023-02,Pennsylvania,21,"8602,8"
2023-02,Nevada,6,2085
2023-02,Texas,95,"49929,4"
2023-02,New York,116,"62540,1"
2023-02,Massachusetts,19,9568
2023-02,Maryland,20,"12564,6"
2023-02,Wisconsin,2,845
2023-02,Kentucky,6,2215
2023-02,Minnesota,2,515
2023-02,Mississippi,2,685
2023-02,California,126,"66199,2"
2023-02,Utah,3,1570
2023-02,Alabama,13,6973
2023-02,Ohio,15,"7411,8"
2023-02,District Of Columbia,4,2561
2023-02,Kansas,1,1190
2023-02,Louisiana,11,"5024,8"
2023-02,Connecticut,20,"10179,8"
2023-02,Tennessee,16,"6829,8"
2023-02,Doha,1,"928,59"
2023-02,Rhode Island,4,1935
2023-02,,199,"145660,24"
2023-02,Northern Territory,1,"458,62"
2023-02,Wyoming,2,1785
2023-02,Florida,197,"108164,7"
2023-02,Quebec,1,"495,97"
2023-02,Riyadh,1,"778,25"
2023-02,Washington,5,1890
2023-02,South Carolina,14,"5949,8"
2023-02,Abu Dhabi,1,"409,85"
2023-02,Oregon,4,2010
2023-02,Missouri,4,"1479,8"
2023-02,Illinois,33,13351
2023-02,England,1,"816,61"
2023-02,New Hampshire,1,725
2023-02,North Carolina,27,13093
2023-02,TÅkyÅ,1,"551,39"
2023-02,Virginia,26,"10504,2"
2023-02,Nebraska,2,1090
2023-02,Idaho,2,970
2023-02,New Jersey,48,23909
2023-02,Michigan,16,7435
2023-02,Indiana,6,"2176,5"
2023-02,Arizona,11,"4119,8"
2023-03,Illinois,57,31719
2023-03,Maryland,38,15754
2023-03,Alabama,16,11415
2023-03,West Virginia,1,495
2023-03,Hawaii,1,500
2023-03,New Mexico,0,0
2023-03,Nebraska,2,1275
2023-03,Oregon,4,2545
2023-03,North Carolina,24,9819
2023-03,Louisiana,8,3195
2023-03,Minnesota,4,1370
2023-03,Iowa,2,760
2023-03,California,207,"110000,5"
2023-03,Delaware,3,1235
2023-03,Michigan,14,5575
2023-03,Jalisco,2,"1244,1"
2023-03,,229,"169165,63"
2023-03,Washington,16,7310
2023-03,Virginia,16,8325
2023-03,Tennessee,20,"11335,5"
2023-03,Connecticut,28,13595
2023-03,Ohio,7,2756
2023-03,Alberta,1,"595,09"
2023-03,Oklahoma,3,1595
2023-03,Utah,3,1250
2023-03,Wisconsin,7,3180
2023-03,Kansas,7,4044
2023-03,Georgia,63,31269
2023-03,Arkansas,2,845
2023-03,Lomas De Chapultepec,1,"617,37"
2023-03,Rhode Island,2,1455
2023-03,Pennsylvania,21,14229
2023-03,South Carolina,20,12490
2023-03,New Jersey,89,40761
2023-03,Kentucky,5,3665
2023-03,Mississippi,4,1720
2023-03,Missouri,12,4589
2023-03,Texas,135,"66057,5"
2023-03,Idaho,0,0
2023-03,Nevada,4,1730
2023-03,Quebec,1,"850,11"
2023-03,Florida,238,134138
2023-03,Massachusetts,29,13715
2023-03,British Columbia,1,"781,58"
2023-03,South Dakota,1,1190
2023-03,District Of Columbia,9,4580
2023-03,Wyoming,2,835
2023-03,Indiana,2,525
2023-03,England,1,"774,57"
2023-03,New Hampshire,2,540
2023-03,Arizona,26,12110
2023-03,New York,227,"126867,7"
2023-03,Doha,1,"617,28"
2023-03,Colorado,20,11820
2023-04,Tennessee,23,"13702,5"
2023-04,Wyoming,1,595
2023-04,California,160,"80593,5"
2023-04,Illinois,63,25730
2023-04,Jalisco,1,"625,78"
2023-04,Nebraska,1,290
2023-04,Montana,2,985
2023-04,British Columbia,1,"496,46"
2023-04,Arkansas,3,5870
2023-04,Wisconsin,3,1345
2023-04,Texas,149,"70260,5"
2023-04,Alabama,14,7760
2023-04,Lomas De Chapultepec,1,"617,37"
2023-04,New Jersey,101,44835
2023-04,Makkah,1,"721,09"
2023-04,Virginia,21,11840
2023-04,Missouri,13,9780
2023-04,Ohio,12,4660
2023-04,Nevada,7,"3410,5"
2023-04,Minnesota,6,2440
2023-04,Indiana,11,"6140,5"
2023-04,Ontario,2,"1291,1"
2023-04,Delaware,0,0
2023-04,Arizona,17,7765
2023-04,Connecticut,46,30715
2023-04,Utah,3,1440
2023-04,District Of Columbia,12,6875
2023-04,Colorado,17,11800
2023-04,Oregon,5,2345
2023-04,Michigan,7,2785
2023-04,Kentucky,7,3270
2023-04,Florida,232,136090
2023-04,Manitoba,1,"597,58"
2023-04,Maine,1,495
2023-04,North Carolina,25,14305
2023-04,Rhode Island,4,1895
2023-04,New York,199,"101810,5"
2023-04,South Dakota,1,1785
2023-04,Maryland,32,14500
2023-04,,257,"200058,86"
2023-04,Massachusetts,33,20222
2023-04,Lim,1,617
2023-04,Oklahoma,3,1270
2023-04,Australian Capital Territory,1,"748,74"
2023-04,Georgia,56,33410
